,Community,Community Name,Ethereum Address,Staked Tokens,Capacity (Share of Staked Tokens),PAN Donated,Donation Count,Quadratic Funding,Share of Quadratic Funding,Utilization (Share of QF / Capacity),Capacity Overflow,,Utilization After Overflow,Subsidy Points,Share of Subsidy,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY),Share of Donations When All Fully Stake,"Fully Staked Subsidy
(PAN)","Fully Staked Funding
(PAN)","Fully Staked Funding
(USD)",Fully Staked Multiplier,"Prorated Subsidy
(PAN)","Prorated Funding
(PAN)",Prorated Multiplier
,Upala,Upala,0xddB1CB4EdBCD83066Abf26E7102dc0e88009DEAB,"33,927.15",0.47%,"1,586.75",11,110.50,1.6543%,351.63%,251.63%,⇧,187.52%,58.93,1.52%,"17,348.43","18,935.18","$1,292.50",11.93x,165.20%,1.65%,"18,909.93","20,496.68","$1,399.08",12.92x,"18,909.93","20,496.68",12.92x
,Mol LeArt,Mol LeArt,0xF09631d7BA044bfe44bBFec22c0A362c7e9DCDd8,"25,160.00",0.35%,"1,610.29",7,93.24,1.3958%,400.08%,300.08%,⇧,200.02%,46.61,1.20%,"13,723.10","15,333.39","$1,046.64",9.52x,174.12%,1.40%,"15,955.51","17,565.80","$1,199.02",10.91x,"15,955.51","17,565.80",10.91x
,MetaGame,MetaGame,0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,"55,250.18",0.77%,938.79,3,48.30,0.7231%,94.38%,0.00%,,94.38%,48.30,1.24%,"14,219.23","15,158.02","$1,034.67",16.15x,91.61%,0.72%,"8,265.36","9,204.15",$628.27,9.80x,"8,265.36","9,204.15",9.80x
,Rotki,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,"14,907.47",0.21%,"2,080.50",10,116.79,1.7484%,845.81%,745.81%,⇧,290.83%,40.16,1.03%,"11,822.52","13,903.02",$949.01,6.68x,233.57%,1.75%,"19,986.33","22,066.83","$1,506.26",10.61x,"19,986.33","22,066.83",10.61x
,Bloom Network,Bloom Network,0xF64bBc221f89cc882fBa507908bbE4Ae3Ad2F470,"4,961.42",0.07%,"3,983.33",20,243.06,3.6387%,5288.96%,5188.96%,⇧,727.25%,33.42,0.86%,"9,839.21","13,822.54",$943.51,3.47x,437.19%,3.64%,"41,594.08","45,577.41","$3,111.07",11.44x,"41,594.08","45,577.41",11.44x
,Minerva Wallet by lab10 collective,lab10 collective,0x9fC13b4E1C4206970a1C4520d2f77336CD5D0e0a,"13,642.45",0.19%,"1,273.25",14,120.50,1.8039%,953.54%,853.54%,⇧,308.79%,39.02,1.00%,"11,487.62","12,760.87",$871.04,10.02x,244.35%,1.80%,"20,619.83","21,893.08","$1,494.40",17.19x,"20,619.83","21,893.08",17.19x
,Hashing it Out's Community Fund,Hashing it Out,0x05dF81Bf098Ae29AfAd54250Cd224379eDCae850,"1,109,506.31",15.39%,425.25,5,41.51,0.6215%,4.04%,0.00%,,4.04%,41.51,1.07%,"12,221.74","12,646.99",$863.27,29.74x,4.38%,0.62%,"7,104.27","7,529.52",$513.96,17.71x,"7,104.27","7,529.52",17.71x
,DePo DAO,DePo DAO,0x3792acDf2A8658FBaDe0ea70C47b89cB7777A5a5,"6,497.50",0.09%,"1,297.00",8,87.97,1.3170%,1461.75%,1361.75%,⇧,382.33%,23.01,0.59%,"6,774.10","8,071.10",$550.93,6.22x,285.68%,1.32%,"15,054.76","16,351.76","$1,116.15",12.61x,"15,054.76","16,351.76",12.61x
,DeFi Safety,DeFi Safety,0xe7E2E1de02CDc8dC307eA4CD237C0a24CF52f2AA,"8,846.56",0.12%,"1,301.90",3,60.76,0.9095%,741.43%,641.43%,⇧,272.29%,22.31,0.57%,"6,568.67","7,870.57",$537.24,6.05x,222.13%,0.91%,"10,396.74","11,698.64",$798.54,8.99x,"10,396.74","11,698.64",8.99x
,Handshake Development Fund,Handshake Development Fund,0xd25A803E24FFd3C0033547BE04D8C43FFBa7486b,"8,858.99",0.12%,966.15,3,45.07,0.6747%,549.23%,449.23%,⇧,234.36%,19.23,0.50%,"5,661.49","6,627.64",$452.40,6.86x,197.65%,0.67%,"7,712.48","8,678.63",$592.39,8.98x,"7,712.48","8,678.63",8.98x
,Open Reviews by Trips Community,Trips Community,0x2C5FF0Be38115Fe6E37ACce8e94F86186c3D73dF,"5,111.92",0.07%,879.14,4,45.87,0.6867%,968.77%,868.77%,⇧,311.25%,14.74,0.38%,"4,338.74","5,217.88",$356.17,5.94x,245.80%,0.69%,"7,849.83","8,728.97",$595.83,9.93x,"7,849.83","8,728.97",9.93x
,LexDAO,LexDAO,0x24801de57F065d95D741DFf0f419dc5004777C87,9.50,0.00%,"1,888.65",5,87.99,1.3173%,999973.36%,999873.36%,⇧,9999.87%,0.88,0.02%,259.05,"2,147.70",$146.60,1.14x,1336.70%,1.32%,"15,057.99","16,946.64","$1,156.76",8.97x,"15,057.99","16,946.64",8.97x
,EthCC by Ethereum France,Ethereum France,0xD8FF82D36D1439eD3eF8cBb4b28178Ff7F6b7209,100.00,0.00%,"1,211.68",9,80.95,1.2118%,87391.29%,87291.29%,⇧,2956.20%,2.74,0.07%,806.13,"2,017.80",$137.73,1.67x,881.60%,1.21%,"13,852.34","15,064.02","$1,028.25",12.43x,"13,852.34","15,064.02",12.43x
,Abridged,Abridged,0x0efE994201e2b0136DD40D5033b5F437e4c5F958,0.00,0.00%,781.15,3,38.19,0.5717%,0.00%,0.00%,,0.00%,0.00,0.00%,0.00,781.15,$53.32,1.00x,0.00%,0.57%,"6,534.80","7,315.95",$499.38,9.37x,"6,534.80","7,315.95",9.37x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"7,211,496.89",,"173,862.86",491,"6,679.83",,,,,,"3,882.86",,"1,143,089.89","1,316,952.75","$89,893.88",7.57x,,100.00%,"1,143,089.89","1,316,952.75","$89,893.88",7.57x,"1,143,089.89","1,316,952.75",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,⇧,Stake more to get a higher multiplier. Communities are rewarded as their share of staked tokens reaches their share of the quadratic funding.,,,,,,,,,,,,,,,,,,,,,,,
