,Campaign Title,Community Name,Ethereum Address,Staked Tokens,Share of Staked Tokens,PAN Donated,Donation Count,Fair Share Score from PAN Donations,Total Quarterly Fundraising,Recurring Event Attendance,Fair Share Score from Proof of Community,Coalition,Coalition Bonus,Leadership,Leadership Bonus,Fair Share Score,Fair Share,Utilized Fair Share Score,Utilized Fair Share,Subsidy Points,Matching Progress,,Share of Subsidy,Target Staking Share,Maximum Staking Total,Remaining PAN to Stake,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY)
,Blockchain Education Network,Blockchain Education Network,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,"33,476.48",0.52%,358.19,5,24.81,,,11.18,,0.00,,0.00,35.99,0.1719%,35.99,0.8511%,22.19,61.65%,,1.21%,0.8511%,"54,477.15","21,000.67","14,050.31","14,408.50","$1,493.47",40.23x,140.18%
,ethers.js ,ethers.js,0x8ba1f109551bD432803012645Ac136ddd64DBA72,"33,173.48",0.52%,597.19,10,46.82,,,11.18,,0.00,,0.00,58.00,0.2770%,58.00,1.3718%,21.99,37.91%,,1.20%,1.3718%,"88,267.12","55,093.64","13,923.13","14,520.32","$1,505.06",24.31x,140.18%
,NFThub,NFThub,0x5FfF94e8585a12A13B46177110A8812B6dB92F87,"56,348.05",0.88%,28.19,2,4.72,,,11.18,Crypto Art,2.39,,0.00,18.29,0.0873%,18.29,0.4325%,18.29,100.00%,,1.00%,0.4325%,"27,468.72",0.00,"11,581.24","11,609.43","$1,203.34",411.83x,74.77%
,FightPandemics,FightPandemics,0x78F3c73F5500335aAC51E4c2A79555D176b279da,"71,043.27",1.11%,28.19,2,4.72,,,11.18,Regenerative Commons,2.39,,0.00,18.29,0.0873%,18.29,0.4325%,18.29,100.00%,,1.00%,0.4325%,"27,404.89",0.00,"11,581.24","11,609.43","$1,203.34",411.83x,60.41%
,Mol LeArt,Mol LeArt,0xF09631d7BA044bfe44bBFec22c0A362c7e9DCDd8,"28,165.48",0.44%,28.19,2,4.72,,,11.18,Crypto Art,2.39,,0.00,18.29,0.0873%,18.29,0.4325%,18.29,100.00%,,1.00%,0.4325%,"27,591.15",0.00,"11,581.24","11,609.43","$1,203.34",411.83x,137.77%
,Opolis,Opolis,0x3792acDf2A8658FBaDe0ea70C47b89cB7777A5a5,"91,784.96",1.44%,56.38,2,6.68,,,11.18,,0.00,,0.00,17.86,0.0853%,17.86,0.4224%,17.86,100.00%,,0.98%,0.4224%,"26,670.80",0.00,"11,309.35","11,365.73","$1,178.08",201.59x,46.48%
,Upala,Upala,0xddB1CB4EdBCD83066Abf26E7102dc0e88009DEAB,"26,644.92",0.42%,63.19,4,9.98,,,11.18,Digital Identity,3.17,,0.00,24.33,0.1162%,24.33,0.5755%,17.66,72.58%,,0.97%,0.5755%,"36,771.37","10,126.45","11,183.05","11,246.24","$1,165.70",177.98x,140.18%
,Open Reviews by Trips Community,Trips Community,0x2C5FF0Be38115Fe6E37ACce8e94F86186c3D73dF,"25,486.68",0.40%,228.19,4,17.60,,,11.18,,0.00,,0.00,28.78,0.1375%,28.78,0.6807%,16.89,58.69%,,0.92%,0.6807%,"43,548.17","18,061.49","10,696.93","10,925.12","$1,132.41",47.88x,140.18%
,Circles UBI,Circles UBI,0x7415EfD9D908281ea0279c49A6c23011D9d9A0a4,"171,990.71",2.70%,55.00,1,4.78,,,11.18,,0.00,,0.00,15.96,0.0762%,15.96,0.3774%,15.96,100.00%,,0.87%,0.3774%,"23,514.06",0.00,"10,104.18","10,159.18","$1,053.02",184.71x,22.83%
,Hashing it Out's Community Fund,Hashing it Out,0x05dF81Bf098Ae29AfAd54250Cd224379eDCae850,"826,275.93",12.95%,28.19,2,4.72,,,11.18,,0.00,,0.00,15.90,0.0760%,15.90,0.3761%,15.90,100.00%,,0.87%,0.3761%,"20,965.54",0.00,"10,070.64","10,098.83","$1,046.76",358.24x,4.85%
