,Campaign Name,Community Name,Ethereum Address,Layer 2 Preference,Layer 2 Address,Primary Donation Method,Donation URL
,Gitcoin,Gitcoin,,,,,
,RaidGuild,RaidGuild,0xD25185f8c3B9e38C3f014378CE58B362Db568352,,,Gitcoin,https://gitcoin.co/grants/304/raid-guild-3
,DAOhaus,DAOhaus,,,,,
,Blockchain Education Network,Blockchain Education Network,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,Matic,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,Gitcoin,https://gitcoin.co/grants/49/blockchain-education-network
,DAOSquare,DAOSquare,0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,,,Gitcoin,https://gitcoin.co/grants/482/daosquare-3
,Circles UBI,Circles UBI,0x7415EfD9D908281ea0279c49A6c23011D9d9A0a4,,,Gitcoin,https://gitcoin.co/grants/331/circles-ubi
,Giveth,Giveth,0x90dfc35e747ffcf9631ce75348f99632528e1704,,,Gitcoin,https://gitcoin.co/grants/795/givethio-panvala-league
,Women of Crypto Art (WOCA),Women of Crypto Art (WOCA),0xCCa88b952976DA313Fb928111f2D5c390eE0D723,,,Gitcoin,https://gitcoin.co/grants/1761/women-of-crypto-art-panvala-league
,Dandelion Collective,Dandelion Collective,0x84a57c709482d44cE49511adac7ED7F1Db299455,,,Other,"https://psychedelicsociety.org.uk/become-a-member
https://gitcoin.co/grants/564/dandelion"
,Shenanigan,Shenanigan,0x5A9CE898f0B03c5A3Cd2d0c727efdD0555C86f81,xDai,0x5A9CE898f0B03c5A3Cd2d0c727efdD0555C86f81,Gitcoin,https://gitcoin.co/grants/684/shenanigan-panvala-league
,Peoples' Cooperative,Peoples' Cooperative,0xD120a3cb934694037a12E2F603d45Aa3aE77ABC3,,,Gitcoin,https://gitcoin.co/grants/2067/peoples-cooperative-panvala-league
,Marma J Foundation,Marma J Foundation,0x549Adf7B383A1645F26a2AcFE09c5304B679A532,,,Gitcoin,https://gitcoin.co/grants/902/marma-j-foundation-panvala-league
,Pool-Party Hackervilla,Pool-Party,0x3792acDf2A8658FBaDe0ea70C47b89cB7777A5a5,,,Gitcoin,https://gitcoin.co/grants/2196/pool-party
,Prime Rating,PrimeDAO,0x6030dB952f1aEeFA27d84D40D2f64c6216f64b0e,,,Gitcoin,https://gitcoin.co/grants/2349/prime-rating-permissionless-defi-rating-panvala-l
,Senary Commonwealth,Senary Commonwealth,,,,Gitcoin,
